mkdir -p /home/brianklam/.cache/liminal-mutants
TMPDIR=/home/brianklam/.cache/liminal-mutants cargo mutants -f crates/liminal-xtask/src/haq.rs -j 6
Found 306 mutants to test
ok       Unmutated baseline in 12s build + 0s test
 INFO Auto-set test timeout to 20s
MISSED   crates/liminal-xtask/src/haq.rs:59:35: replace == with != in verify_qualified_repo in 56s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:41:51: replace == with != in verify_qualified_repo in 56s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:452:22: replace < with > in verify_reviewer_independence in 0s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:650:37: replace != with == in verify_test_names_exist in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:670:12: delete ! in verify_test_names_exist in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:653:40: replace == with != in verify_test_names_exist in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:714:29: replace == with != in verify_fuzz_evidence in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:898:34: replace < with == in verify_packet_shape in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:898:34: replace < with <= in verify_packet_shape in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:952:47: replace || with && in verify_packet_shape in 2s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:1056:18: replace > with >= in verify_kill_concentration in 4s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:1195:18: replace > with >= in verify_mutant_inventory in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:1227:28: replace * with + in verify_generated_inventory in 0s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:1230:41: replace < with > in verify_generated_inventory in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:1227:34: replace > with >= in verify_generated_inventory in 2s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:1414:24: replace || with && in verify_crash_boundary_inventory in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:1706:5: replace run_canaries_repo -> Result<()> with Ok(()) in 2s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:1821:46: replace != with == in mutate_canary in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:1851:49: replace != with == in mutate_canary in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:1879:44: replace != with == in mutate_canary in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:1919:16: replace ^ with | in Rng::next in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:1919:16: replace ^ with & in Rng::next in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:1919:26: replace >> with << in Rng::next in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:1922:9: replace Rng::below -> u64 with 1 in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:1947:9: replace Rng::word -> String with "xyzzy".into() in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:1948:21: replace + with * in Rng::word in 0s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2025:32: replace == with != in case_interchange in 0s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2085:20: replace + with * in case_transform in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2034:34: replace == with != in case_interchange in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2097:33: replace == with != in case_transform in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2185:29: replace == with != in case_repair in 0s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2192:24: replace >= with < in case_repair in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2194:40: delete ! in case_repair in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2194:55: replace && with || in case_repair in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2194:50: replace == with != in case_repair in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2194:65: replace == with != in case_repair in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2194:74: replace - with + in case_repair in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2194:74: replace - with / in case_repair in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2270:11: replace + with * in case_invalidation in 0s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2293:8: delete ! in case_invalidation in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2337:48: replace / with % in run_generated_repo in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2337:40: replace * with / in run_generated_repo in 0s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2337:48: replace / with * in run_generated_repo in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2330:5: replace run_generated_repo -> Result<()> with Ok(()) in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2337:40: replace * with + in run_generated_repo in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2358:5: replace generate_evidence -> Result<(Vec<GeneratedEvidence>, Vec<u64>)> with Ok((vec![], vec![])) in 2s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2358:5: replace generate_evidence -> Result<(Vec<GeneratedEvidence>, Vec<u64>)> with Ok((vec![], vec![0])) in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2361:14: replace > with == in generate_evidence in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2358:5: replace generate_evidence -> Result<(Vec<GeneratedEvidence>, Vec<u64>)> with Ok((vec![], vec![1])) in 2s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2386:24: replace < with == in generate_evidence in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2375:46: replace ^ with & in generate_evidence in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2361:14: replace > with >= in generate_evidence in 2s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2375:46: replace ^ with | in generate_evidence in 2s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2386:24: replace < with <= in generate_evidence in 1s build + 0s test
MISSED   crates/liminal-xtask/src/haq.rs:2386:24: replace < with > in generate_evidence in 2s build + 0s test
306 mutants tested in 3m: 55 missed, 236 caught, 15 unviable
error: recipe `mutants` failed on line 126 with exit code 2
